판매일시,파종일시,도,PC1,PC2,PC3,PC4,가격,도_num,파종연월,판매연월
2015-06-09,2015-02-09,서울특별시,1.1356871922137908,-1.3180405229365473,-0.14804280588222454,0.8086043301782635,13000.0,3,2015-02,2015-06
2015-06-09,2015-02-09,울산광역시,-1.0131993372743417,-0.2161304304344474,0.025454201187016835,-0.17283868935710126,13000.0,10,2015-02,2015-06
2015-06-09,2015-02-09,인천광역시,0.4765180250703906,-0.3240551298615043,0.08243528155192419,0.2657911836722557,13000.0,2,2015-02,2015-06
2015-06-09,2015-02-09,전라남도,-1.860850019923733,-0.058844132071545284,0.11182828075253241,-0.3111659241536993,13000.0,14,2015-02,2015-06
2015-06-09,2015-02-09,전라북도,-0.5769341792832102,-0.046076769305166985,-0.02014656198551335,-0.5205684674177359,13000.0,8,2015-02,2015-06
2015-06-09,2015-02-09,충청남도,-0.8764874151727193,0.08718869720483514,-0.040110521120833256,-0.7763094907744738,13000.0,6,2015-02,2015-06
2015-06-09,2015-02-09,충청북도,-0.19282407016124478,-0.2400890715114145,0.006281576905582992,-0.21059437794549551,13000.0,5,2015-02,2015-06
2015-06-10,2015-02-10,강원도,4.367463436505313,1.523995961628517,0.5801721158338908,0.7298460806683085,11000.0,0,2015-02,2015-06
2015-06-10,2015-02-10,경기도,5.477353782821984,0.1346551622778158,0.2848988195398669,1.6367541399447876,11000.0,1,2015-02,2015-06
2015-06-10,2015-02-10,경상남도,1.652885935108988,0.4709658954777868,0.038225100404448153,-0.08225598390082947,11000.0,11,2015-02,2015-06
2015-06-10,2015-02-10,경상북도,2.530522119112828,1.3143851848242076,0.844189014275976,1.527141318273186,11000.0,4,2015-02,2015-06
2015-06-10,2015-02-10,광주광역시,2.627046012765658,0.5648260340125171,-0.1521580896076598,-0.4134002867546547,18000.0,12,2015-02,2015-06
2015-06-10,2015-02-10,대구광역시,2.4093073949007016,0.24494939167172233,0.21227184509253622,0.5296819039630217,19000.0,9,2015-02,2015-06
2015-06-10,2015-02-10,대전광역시,2.304318732437681,1.0814459294318306,0.5858499380784905,0.803427934581366,19000.0,7,2015-02,2015-06
2015-06-10,2015-02-10,부산광역시,2.0243357580727266,0.9787958043531562,0.5588241401663134,0.6038765867537871,17000.0,13,2015-02,2015-06
2015-06-10,2015-02-10,서울특별시,6.2423567374171585,-0.3750437885962517,0.006241901880866503,1.4104896951419479,11000.0,3,2015-02,2015-06
2015-06-10,2015-02-10,울산광역시,2.587359594166053,0.7269705335487774,0.36413506692019804,0.6612580752272814,11000.0,10,2015-02,2015-06
2015-06-10,2015-02-10,인천광역시,5.171694435381592,0.4333527608888551,0.5874672560641555,1.9322725528876725,11000.0,2,2015-02,2015-06
2015-06-10,2015-02-10,전라남도,1.1930314085128637,1.16065457456901,0.5969994887748957,0.5953686571298035,11000.0,14,2015-02,2015-06
2015-06-10,2015-02-10,전라북도,2.31401347360907,1.0331787772803467,0.380331621048303,0.467668108280487,11000.0,8,2015-02,2015-06
2015-06-10,2015-02-10,충청남도,2.4703767832343546,1.2040720851942408,0.5835181506324001,0.7605910190460031,11000.0,6,2015-02,2015-06
2015-06-10,2015-02-10,충청북도,3.30517168218517,0.8930093481194611,0.6786501175852003,1.4252823673733912,11000.0,5,2015-02,2015-06
2015-06-11,2015-02-11,강원도,3.142274447502167,1.4239554073927396,0.4673179723679623,0.5659999660390805,-1.0,0,2015-02,2015-06
2015-06-11,2015-02-11,경기도,4.235422236724964,-0.4947259626229505,-0.16469279821698013,1.0973982892847993,-1.0,1,2015-02,2015-06
2015-06-11,2015-02-11,경상남도,2.2387173437618237,0.7612048108234439,0.04961995708033388,0.01023890891676249,-1.0,11,2015-02,2015-06
2015-06-11,2015-02-11,경상북도,3.631144682913305,0.44032303713263465,0.5154139647862086,2.036302565170458,-1.0,4,2015-02,2015-06
2015-06-11,2015-02-11,광주광역시,3.76711533226967,0.43460717576003516,-0.5735917584899907,-1.0829835489442998,-1.0,12,2015-02,2015-06
2015-06-11,2015-02-11,대구광역시,4.433106243137,0.21125698312514818,-0.23449704585702358,0.042776891304873506,-1.0,9,2015-02,2015-06
2015-06-11,2015-02-11,대전광역시,2.0329518783464655,0.5741950597659172,0.2677163916802341,0.6897942339455233,-1.0,7,2015-02,2015-06
2015-06-11,2015-02-11,부산광역시,2.781068881934637,1.8846137945258143,0.6452442132092178,0.2967271503494424,-1.0,13,2015-02,2015-06
2015-06-11,2015-02-11,서울특별시,5.260719486086069,-0.6523259900281037,-0.39449262414225544,0.713386831453787,-1.0,3,2015-02,2015-06
2015-06-11,2015-02-11,울산광역시,3.5438050961287177,0.46640898022596766,0.3118494866738075,1.2028530541906828,-1.0,10,2015-02,2015-06
2015-06-11,2015-02-11,인천광역시,3.975597033271871,-0.062310677423736756,0.0617917564923138,1.116740514416355,-1.0,2,2015-02,2015-06
2015-06-11,2015-02-11,전라남도,1.4185633538927036,0.6537330741799834,0.35169281240281575,0.6642493858223544,-1.0,14,2015-02,2015-06
2015-06-11,2015-02-11,전라북도,1.1374602907548093,0.41628519097392386,0.07883440699524027,0.19483032407297823,-1.0,8,2015-02,2015-06
2015-06-11,2015-02-11,충청남도,1.903195516124313,0.3829462265894369,0.1321439955707737,0.5721158878626544,-1.0,6,2015-02,2015-06
2015-06-11,2015-02-11,충청북도,3.4953708569454,0.42131640564170675,0.21435721321194343,1.0992758834029772,-1.0,5,2015-02,2015-06
2015-06-12,2015-02-12,강원도,-0.19530480327908192,0.055848798982767824,0.30279433282756846,0.7136210199888832,-1.0,0,2015-02,2015-06
2015-06-12,2015-02-12,경기도,-0.33159740272720956,-0.32244313664516266,0.21300979306213724,0.7612157951746532,-1.0,1,2015-02,2015-06
2015-06-12,2015-02-12,경상남도,0.06050634907225481,0.3593208632878241,0.048421515274969594,-0.1508966606089501,-1.0,11,2015-02,2015-06
2015-06-12,2015-02-12,경상북도,0.42106646725029545,0.16729418175802666,0.3518227680403073,1.0186779518403088,-1.0,4,2015-02,2015-06
2015-06-12,2015-02-12,광주광역시,-0.2951905448172229,0.15624325910818818,0.10165283266950634,0.10907598283267317,-1.0,12,2015-02,2015-06
2015-06-12,2015-02-12,대구광역시,-0.10552858411607584,-0.04553063851440388,0.05847019214086238,0.0999575880125321,-1.0,9,2015-02,2015-06
2015-06-12,2015-02-12,대전광역시,-0.9345311580972386,-0.320612411274471,0.19195089344922014,0.46104970873733114,-1.0,7,2015-02,2015-06
2015-06-12,2015-02-12,부산광역시,1.2461855613832298,0.9978117871508317,0.47922579205323806,0.3309680732192171,-1.0,13,2015-02,2015-06
2015-06-12,2015-02-12,서울특별시,-0.15481985887673788,-0.8911532203615713,0.16001754241898472,1.146444641534861,-1.0,3,2015-02,2015-06
2015-06-12,2015-02-12,울산광역시,1.3027930084305557,-0.11316854975760908,0.01987173156225795,0.5039898119415746,-1.0,10,2015-02,2015-06
2015-06-12,2015-02-12,인천광역시,-0.7371642883759398,-0.10024339071829685,0.4164793466184826,0.925386694778577,-1.0,2,2015-02,2015-06
2015-06-12,2015-02-12,전라남도,-0.8305598922240253,0.3079150289898426,0.22699199698961856,0.17194481044653792,-1.0,14,2015-02,2015-06
2015-06-12,2015-02-12,전라북도,-0.3997394572449855,0.20409329927982378,0.425221396366618,0.7433758631855226,-1.0,8,2015-02,2015-06
2015-06-12,2015-02-12,충청남도,-1.5951883529229796,0.0226646354592967,0.19922507919122984,0.10962683649232091,-1.0,6,2015-02,2015-06
2015-06-12,2015-02-12,충청북도,0.07064873282285435,-0.45770496222903084,0.23953156772471249,0.9382554049118979,-1.0,5,2015-02,2015-06
2015-06-13,2015-02-13,강원도,-0.8021538658601116,-0.27634817766829606,0.19731074453587835,0.5568223697198215,-1.0,0,2015-02,2015-06
2015-06-13,2015-02-13,경기도,0.4117984094205519,-0.9098460764021479,-0.04044066446151516,0.7847144225774267,-1.0,1,2015-02,2015-06
2015-06-13,2015-02-13,경상남도,-1.4830853532404868,-0.3963979949850686,0.07902417835760218,0.16863443930879804,-1.0,11,2015-02,2015-06
2015-06-13,2015-02-13,경상북도,-0.61554037999732,-0.19421365882125433,0.20752907831022102,0.5558439241613239,-1.0,4,2015-02,2015-06
2015-06-13,2015-02-13,광주광역시,-0.27301833354716826,-0.7927270096807217,-0.11113281239936204,0.38468957695747585,-1.0,12,2015-02,2015-06
2015-06-13,2015-02-13,대구광역시,-1.2009101235189397,-0.8863161998922834,-0.06548825808509481,0.24375613325576417,-1.0,9,2015-02,2015-06
2015-06-13,2015-02-13,대전광역시,-0.6911762774320828,-0.7712811912109393,-0.0019635386665705795,0.3391520187712522,-1.0,7,2015-02,2015-06
